bvid,title,play_count,duration,author,description
BV1xK4y1J7U2,"<em class=""keyword"">黄梅戏</em>合集",536764,14054:11,byear_白夜,"黄梅戏
搬自pt站"
BV1ks41137jy,"<em class=""keyword"">黄梅戏</em>《女驸马》韩再芬 李萍（全4集）1986",210932,175:11,残缺灵魂,"黄梅戏电视连续剧《女驸马》韩再芬 李萍（全4集）1986

　　《女驸马》是于1986年首播的电视剧，由朱茂松执导，由韩再芬等主演。黄梅戏代表作《女驸马》是一部极富传奇色彩的古装戏，说的是湖北襄阳道台之女冯素贞冒死救夫，经历了种种曲折，终于如愿以偿，成就了美满姻缘的故事。
　　该剧通过女扮男装冒名赶考、偶中状元误招东床驸马、洞房献智化险为夷等一系列近乎离奇却又在情理之中的戏剧情节，塑造了一个善良、勇敢、聪慧的古代少女形象。"
BV1V24K1o75C,"《<em class=""keyword"">黄梅戏</em>》—慕容晓晓",3094,3:50,可叹岁月如歌,
BV1gj411f7tG,"【戏曲】<em class=""keyword"">黄梅戏</em>喜剧系列",74679,926:58,给为师吹个快落滴,"1、《驼子劝架》
2、《王大娘买瓜》
3、《孬子赶集》
4、《孬子学话》
5、《驮老婆》
6、《卖杂货》
7、《娶亲》
8、《孬子借种》
9、《小秃子过年》
10、《王婆骂鸡》
11、《闹肉铺》
12、《劝赌》
13、《小和尚偷情》
14、《打补缸》
15、《王小六赶驴》
16、《王小六过年》
17、《王小六假报喜》
18、《王小六借妻》
19、《王小六开婚介所》
20、《王小六买牛》
21、《王小六娶老婆》
22、《王小六偷情》"
BV1NV411o7AQ,"【<em class=""keyword"">黄梅戏</em>】《嫂嫂皮秀英》吴琼 刘国平 沈良学等[完整版]",8855,146:34,小蕾M南昌,
BV1oL4y1t7M4,有多少人因为这两首歌喜欢上了戏曲？第一声就破防了！,631371,6:37,酷狗音乐,"酷狗
	谢津的《说唱脸谱》和慕容晓晓的《黄梅戏》应该是传统戏曲和流行结合的典范了！有多少人因为这两首歌入坑戏曲和戏腔呢？传统戏曲又该在新时代如何发展？引用《说唱脸谱》里的歌词来回答吧：就算是山珍海味老吃也会烦，艺术与时代不能离太远，要创新要发展，哇呀呀呀，让那老的少的男的女的大家都爱看，民族遗产一代一代往下传。"
BV1TC4y1t7J7,"<em class=""keyword"">黄梅戏</em>《女驸马》新唱太好听了，吴琼不愧为黄梅五朵金花歌后！",841638,3:7,戏曲大看台,黄梅戏《女驸马》新唱太好听了，吴琼不愧为黄梅五朵金花歌后！
BV1zV4y1n7MU,"网红唱的<em class=""keyword"">黄梅戏</em>简直low爆了，严凤英大师唱的才是经典啊！",38751,31:7,戏迷乐乐,以前的因为一些不开心的原因删掉了，现在重发一下吧
BV1yt4y177tt,"妈妈说的没错 《<em class=""keyword"">黄梅戏</em>》蒸的不好唱",4642276,3:45,浅影阿_,"作品：《黄梅戏》
原唱：原唱：慕容晓晓
作词：田一龙/何欣
作曲：田一龙/何欣
ps:音频是分开录的，因为这样可以收到好的音质，也方便做视频；选择在教室是在校生确实没地儿好拍视频，都是等大家不在的时候找空教室拍（不会影响到大家~）

 各位同学大家中午好呀！浅浅子终于回学校啦！今天带来的是这首慕容晓晓的《黄梅戏》完整版，对没错！相信很多小伙伴都在去年听过我唱这首歌的一个片段（链接指路：BV1Wh411J7xi），一直没有唱完整的也是因为这首歌真的很难唱，怕自己唱的不够专业；但这段时间一直有小伙伴私信我说想"
BV133411x713,"慕容晓晓唱<em class=""keyword"">黄梅戏</em>《女驸马》,永不过时的曲坛经典，太好听了！",703167,3:45,扬帆爱加速器,"慕容晓晓唱黄梅戏《女驸马》,永不过时的曲坛经典，太好听了！"
